2025-02-28 16:00:25,856 - Indicator: RSI, Entry Time: 2025-02-23 10:36:00, Entry Price: $96,171.86, Exit Time: 2025-02-23 11:20:00, Exit Price: $96,226.42, RSI Prev: 70.77, RSI Entry: 11.02, RSI Exit: 60.09, Profit/Loss: 0.06%
2025-02-28 16:00:28,362 - Indicator: RSI, Entry Time: 2025-02-24 22:04:00, Entry Price: $93,603.02, Exit Time: 2025-02-25 02:48:00, Exit Price: $92,427.44, RSI Prev: 72.36, RSI Entry: 17.73, RSI Exit: 66.74, Profit/Loss: -1.26%
2025-02-28 16:00:29,011 - Indicator: RSI, Entry Time: 2025-02-25 04:03:00, Entry Price: $92,007.81, Exit Time: 2025-02-25 12:00:00, Exit Price: $89,185.32, RSI Prev: 74.96, RSI Entry: 28.10, RSI Exit: 69.95, Profit/Loss: -3.07%
2025-02-28 16:00:29,114 - Indicator: RSI, Entry Time: 2025-02-25 13:38:00, Entry Price: $88,881.08, Exit Time: 2025-02-25 14:16:00, Exit Price: $89,220.35, RSI Prev: 74.92, RSI Entry: 28.16, RSI Exit: 66.08, Profit/Loss: 0.38%
2025-02-28 16:00:29,225 - Indicator: RSI, Entry Time: 2025-02-25 14:51:00, Entry Price: $87,534.01, Exit Time: 2025-02-25 16:46:00, Exit Price: $87,364.91, RSI Prev: 72.19, RSI Entry: 25.60, RSI Exit: 67.73, Profit/Loss: -0.19%
2025-02-28 16:00:29,364 - Indicator: RSI, Entry Time: 2025-02-25 19:17:00, Entry Price: $86,689.88, Exit Time: 2025-02-25 19:49:00, Exit Price: $87,607.17, RSI Prev: 71.07, RSI Entry: 26.53, RSI Exit: 69.20, Profit/Loss: 1.06%
2025-02-28 16:00:29,661 - Indicator: RSI, Entry Time: 2025-02-26 00:13:00, Entry Price: $88,491.47, Exit Time: 2025-02-26 01:57:00, Exit Price: $88,785.03, RSI Prev: 76.46, RSI Entry: 27.22, RSI Exit: 68.68, Profit/Loss: 0.33%
2025-02-28 16:00:29,888 - Indicator: RSI, Entry Time: 2025-02-26 04:53:00, Entry Price: $88,850.46, Exit Time: 2025-02-26 07:15:00, Exit Price: $89,046.90, RSI Prev: 72.97, RSI Entry: 29.16, RSI Exit: 64.96, Profit/Loss: 0.22%
2025-02-28 16:00:29,980 - Indicator: RSI, Entry Time: 2025-02-26 07:40:00, Entry Price: $88,645.67, Exit Time: 2025-02-26 09:17:00, Exit Price: $88,814.04, RSI Prev: 75.82, RSI Entry: 21.85, RSI Exit: 67.25, Profit/Loss: 0.19%
2025-02-28 16:00:30,258 - Indicator: RSI, Entry Time: 2025-02-26 11:30:00, Entry Price: $88,960.37, Exit Time: 2025-02-26 14:50:00, Exit Price: $87,148.86, RSI Prev: 70.26, RSI Entry: 29.81, RSI Exit: 64.62, Profit/Loss: -2.04%
2025-02-28 16:00:30,556 - Indicator: RSI, Entry Time: 2025-02-26 16:13:00, Entry Price: $86,938.01, Exit Time: 2025-02-26 22:07:00, Exit Price: $85,266.00, RSI Prev: 74.31, RSI Entry: 23.45, RSI Exit: 69.88, Profit/Loss: -1.92%
2025-02-28 16:00:30,724 - Indicator: RSI, Entry Time: 2025-02-26 23:24:00, Entry Price: $84,081.56, Exit Time: 2025-02-27 01:29:00, Exit Price: $85,238.73, RSI Prev: 78.81, RSI Entry: 27.16, RSI Exit: 67.59, Profit/Loss: 1.38%
2025-02-28 16:00:30,894 - Indicator: RSI, Entry Time: 2025-02-27 02:38:00, Entry Price: $84,502.48, Exit Time: 2025-02-27 04:57:00, Exit Price: $85,156.84, RSI Prev: 70.68, RSI Entry: 28.29, RSI Exit: 58.44, Profit/Loss: 0.77%
2025-02-28 16:00:31,149 - Indicator: RSI, Entry Time: 2025-02-27 08:28:00, Entry Price: $86,011.16, Exit Time: 2025-02-27 10:09:00, Exit Price: $86,421.10, RSI Prev: 70.05, RSI Entry: 29.61, RSI Exit: 63.05, Profit/Loss: 0.48%
2025-02-28 16:00:31,673 - Indicator: RSI, Entry Time: 2025-02-27 12:57:00, Entry Price: $86,323.67, Exit Time: 2025-02-27 21:19:00, Exit Price: $84,173.70, RSI Prev: 73.40, RSI Entry: 29.74, RSI Exit: 68.33, Profit/Loss: -2.49%
2025-02-28 16:00:31,919 - Indicator: RSI, Entry Time: 2025-02-28 00:50:00, Entry Price: $84,363.36, Exit Time: 2025-02-28 03:06:00, Exit Price: $81,370.92, RSI Prev: 71.28, RSI Entry: 26.10, RSI Exit: 66.31, Profit/Loss: -3.55%
2025-02-28 16:00:32,188 - Indicator: RSI, Entry Time: 2025-02-28 04:07:00, Entry Price: $79,926.01, Exit Time: 2025-02-28 09:24:00, Exit Price: $79,760.94, RSI Prev: 71.49, RSI Entry: 26.40, RSI Exit: 67.42, Profit/Loss: -0.21%
